x,MSE
10, 0.047624828978323167
20, 0.030758921079401032
30, 0.018436390155301068
40, 0.012857295609775403
50,0.008566047
60,0.007435941
70,0.005787816
80,0.004752289
90,0.00313144
100,0.002616457
200,0.001211012
300,0.000636404
400,0.000465859
500,0.000365933
600,0.000293741
700,0.00026191
800,0.000273515
900,0.000259494
1000,0.000253705
