x,MSE
10,0.096699696
20, 0.018286842274130445
30,0.006465194
40,0.003157271
50,0.00097972
60,0.000568456
70,0.000248204
80,0.000167971
90,8.6486E-05
100,7.95987E-05
200,2.44734E-05
300,1.73213E-05
400,1.50491E-05
500,1.40761E-05
600,1.33319E-05
700,1.15226E-05
800,1.07298E-05
900,1.03265E-05
1000,8.69654E-06
