x,MSE_PINN,MSE_MLE
100000,0.076355894, 0.34305835455851214
200000,0.017046288, 0.1158919375039684
300000, 0.010285652994185261,0.058254185
400000,0.005453268, 0.040401951128770645
500000,0.003078999, 0.024693537570127506
600000,0.002414668,0.017910602
700000,0.00153435, 0.013668286474099943
800000,0.001407709, 0.012308004738132398
900000,0.001136138, 0.010716245697550836
1000000,0.000904944,0.007404181
2000000,0.000251541,0.002553362
3000000,0.00011446,0.001224728
4000000,6.66273E-05,0.000803267
5000000,3.39892E-05,0.000602567
6000000,2.39386E-05,0.000433255
7000000,2.0747E-05,0.000313018
8000000,1.46674E-05,0.000271341
9000000,1.2297E-05,0.000208828
10000000,9.79064E-06,0.000169913
