x,MSE
10, 0.12946522257482498
20,0.054330619
30,0.033310493
40,0.016464954
50,0.009483897
60,0.005396746
70,0.004860868
80,0.003188371
90,0.002519637
100,0.001542077
200,0.000226744
300,0.000101059
400,6.65372E-05
500,4.01768E-05
600,3.27651E-05
700,2.56725E-05
800,2.72939E-05
900,2.01018E-05
1000,2.37118E-05
