x,MSE
10,0.002358055
20,0.000475499
30,0.000164531
40,8.70043E-05
50,5.18311E-05
60,3.96375E-05
70,3.29606E-05
80,3.1102E-05
90,2.72123E-05
100,2.0796E-05
200,1.29451E-05
300,1.12295E-05
