x,MSE
10, 0.14418351110314934
20, 0.033087839140616304
30, 0.011475969697783856
40,0.005708072
50,0.002623674
60,0.0015949
70,0.000813182
80,0.00049776
90,0.000349296
100,0.000286734
200,4.92397E-05
300,3.61581E-05
400,2.37397E-05
500,2.09488E-05
600,1.62336E-05
700,1.57237E-05
800,1.40264E-05
900,1.19789E-05
1000,1.46314E-05
