x,MSE
10,0.008967074
20,0.002780339
30,0.001231174
40,0.000460807
50,0.000250118
60,0.000143302
70,0.000129052
80,9.30677E-05
90,6.79941E-05
100,6.17208E-05
200,2.24056E-05
300,1.59296E-05
400,1.91408E-05
500,1.29655E-05
600,2.09869E-05
700,1.39902E-05
800,1.97648E-05
900,1.55233E-05
1000,1.43031E-05
