x,MSE
10,0.087125763
20,0.011697128
30,0.006331747
40,0.002004267
50,0.000813002
60,0.000355477
70,9.00438E-05
80,5.19116E-05
90,3.60224E-05
100,2.48149E-05
200,1.47918E-05
300,1.32399E-05
